Descriptor ID,Fitness,Algorithm,Dimen,R2,R2_Valid,R2_Test,RMSE,MAE,Prediction
"[118, 174, 211, 284, 295, 358, 385, 518, 563, 697]",2.598,GA with MLR,10,0.3954,0.3943,0.3833,1.3659,1.0113,0.6197
"[235, 304, 413, 489, 493, 554]",1.5084,GA with MLR,6,0.3987,0.2822,0.2993,1.456,1.2114,0.4507
"[17, 20, 90, 460, 531, 678]",1.5485,GA with MLR,6,0.3357,0.2933,0.2557,1.5007,1.1796,0.4789
"[42, 164, 279, 415, 433, 571, 907]",2.1237,GA with MLR,7,0.2744,0.2236,0.1955,1.5602,1.2866,0.5211
"[167, 228, 267, 269, 340, 492, 514]",2.1274,GA with MLR,7,0.2525,0.2537,0.2761,1.48,1.1514,0.507
"[6, 211, 226, 230, 255, 306, 328, 394, 558]",2.4356,GA with MLR,9,0.3661,0.3337,0.2485,1.5079,1.2176,0.5775
"[5, 58, 93, 203, 296, 460, 542]",1.9257,GA with MLR,7,0.4339,0.4434,0.4096,1.3365,1.0535,0.5775
"[39, 137, 200, 260, 314, 351, 427, 691]",2.2018,GA with MLR,8,0.3596,0.4108,0.3647,1.3865,1.0811,0.5211
"[98, 118, 251, 284, 382, 404, 413, 489, 506, 568]",2.5786,GA with MLR,10,0.4084,0.4176,0.4269,1.3168,1.097,0.493
"[146, 147, 192]",1.4964,GA with MLR,3,0.2276,0.2994,0.1426,1.6106,1.2656,0.507
"[66, 83, 87, 120, 147, 150, 154, 204, 287, 296, 340, 463, 545, 906]",3.3892,GA with MLR,14,0.4883,0.3308,0.3217,1.4326,1.1508,0.507
"[70, 85, 170, 241, 289, 292, 320, 373, 466, 491, 553]",2.8109,GA with MLR,11,0.4457,0.2932,0.1838,1.5715,1.2329,0.5211
"[58, 108, 244, 369, 403, 408, 512]",1.9249,GA with MLR,7,0.3758,0.5526,0.5011,1.2286,1.0015,0.5493
"[188, 213, 297, 327, 417, 496, 872]",2.0066,GA with MLR,7,0.3155,0.4604,0.3547,1.3974,1.1246,0.5211
"[0, 95, 141, 221, 252, 286, 533, 551]",2.1838,GA with MLR,8,0.3792,0.4199,0.3852,1.3639,1.1122,0.507
"[49, 75, 83, 137, 279, 941]",1.6088,GA with MLR,6,0.2567,0.2752,0.2686,1.4876,1.1518,0.5352
"[32, 35, 38, 161, 202, 219, 444, 557]",2.2369,GA with MLR,8,0.3276,0.3802,0.3767,1.3733,1.1116,0.5211
"[48, 117, 270, 448, 536]",1.3492,GA with MLR,5,0.4125,0.514,0.4812,1.2529,1.0054,0.6197
"[97, 104, 190, 308, 312, 319, 337, 536]",2.2192,GA with MLR,8,0.3586,0.3686,0.3067,1.4483,1.1625,0.5211
"[199, 249, 340, 365, 460, 852]",1.6294,GA with MLR,6,0.2856,0.1635,0.1139,1.6374,1.3344,0.4366
"[182, 204, 390, 504, 521, 697]",1.4859,GA with MLR,6,0.3765,0.3815,0.3836,1.3657,1.0423,0.5915
"[1, 51, 134, 138, 205, 353, 474]",1.9516,GA with MLR,7,0.3829,0.4745,0.3275,1.4264,1.1403,0.507
"[99, 190, 198, 332, 381, 425, 466, 520, 542, 572, 678, 872]",2.9405,GA with MLR,12,0.4568,0.4568,0.4207,1.324,1.0206,0.5634
"[34, 107, 178, 181, 384, 531, 555]",1.9973,GA with MLR,7,0.3901,0.3467,0.3609,1.3906,1.1161,0.5634
"[0, 51, 62, 112, 212, 224, 496, 556, 678]",2.3923,GA with MLR,9,0.353,0.4655,0.3845,1.3647,1.0751,0.5915
"[1, 60, 122, 191, 216, 325, 353, 415, 481, 678]",2.5867,GA with MLR,10,0.3737,0.4607,0.4639,1.2736,1.0164,0.5211
"[172, 214, 238, 246, 353, 423, 482, 650]",2.3279,GA with MLR,8,0.2592,0.2633,0.1984,1.5574,1.2543,0.4648
"[93, 115, 141, 190, 225, 243, 280, 631, 681, 690, 703, 908]",3.0064,GA with MLR,12,0.4013,0.4036,0.4289,1.3146,1.0911,0.507
"[35, 48, 104, 161, 202, 690]",1.485,GA with MLR,6,0.3287,0.4726,0.3971,1.3506,1.0814,0.5352
"[121, 218, 267, 433, 444, 506]",1.5277,GA with MLR,6,0.3507,0.3208,0.3978,1.3498,1.0952,0.5352
"[101, 123, 191, 316, 347, 384, 385, 414, 452, 541, 562, 698]",3.0574,GA with MLR,12,0.3499,0.3723,0.3335,1.4201,1.151,0.5211
