Descriptor ID,Fitness,Algorithm,Dimen,R2,R2_Valid,R2_Test,RMSE,MAE,Prediction
"[1, 74, 86, 91, 138, 140, 173, 220, 285, 299, 379, 451, 490, 495, 521, 929]",4.1862,GA with ANN,16,0.0753,0.0851,0.0278,1.7198,1.4839,0.3239
"[15, 88, 121, 138, 140, 190, 212, 240, 354, 376, 398, 467, 479, 549, 556, 560, 907]",4.397,GA with ANN,17,0.0747,0.0899,0.0393,1.7096,1.4654,0.3803
"[39, 62, 90, 107, 125, 137, 145, 147, 205, 213, 221, 230, 232, 282, 286, 297, 318, 389, 394, 408, 470, 482, 492, 503, 553, 928]",6.3551,GA with ANN,26,0.0721,0.0218,0.0633,1.6881,1.3988,0.3944
"[35, 121, 138, 140, 152, 194, 204, 213, 219, 271, 305, 446, 482, 519, 566]",3.9733,GA with ANN,15,0.072,0.094,0.0223,1.7246,1.4892,0.338
"[20, 54, 137, 138, 140, 302, 340, 345, 370, 406, 534, 906]",3.3451,GA with ANN,12,0.0696,0.0834,0.0293,1.7185,1.4765,0.3803
"[42, 138, 140, 192, 313, 572, 702]",2.2966,GA with ANN,7,0.0647,0.0888,0.0328,1.7154,1.4459,0.4225
"[54, 62, 77, 140, 187, 194, 271, 286, 400, 532, 534, 819]",3.3464,GA with ANN,12,0.0647,0.0882,0.0261,1.7213,1.4712,0.3803
"[38, 138, 140, 154, 169, 212, 280, 297, 300, 379, 429, 459, 469]",3.5567,GA with ANN,13,0.0639,0.0912,0.0368,1.7118,1.4316,0.4085
"[34, 140, 169, 176, 293, 294, 364, 405, 480, 483, 678, 696]",3.3517,GA with ANN,12,0.0639,0.0742,0.0327,1.7154,1.4743,0.3944
"[116, 140, 156, 177, 213, 294, 328, 436, 472, 559, 560, 568, 570, 819, 937]",3.9846,GA with ANN,15,0.0638,0.0761,0.0256,1.7218,1.4877,0.3803
"[52, 75, 98, 139, 140, 162, 174, 217, 226, 232, 333, 366, 398, 413, 429, 481, 533, 839]",4.623,GA with ANN,18,0.063,0.0725,0.0062,1.7388,1.4998,0.3239
"[39, 72, 80, 81, 106, 117, 271, 317, 347, 467, 470, 484, 870]",3.5706,GA with ANN,13,0.0629,0.0525,0.0396,1.7093,1.4206,0.3803
"[2, 39, 48, 125, 167, 200, 293, 313, 354, 406, 454, 491, 549, 872]",3.7902,GA with ANN,14,0.062,0.0301,0.0502,1.6999,1.3931,0.3944
