Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Prediction
"[30, 55, 77, 80, 223, 239, 320, 435, 648, 692, 908]",2.6584,GA with SVR,11,0.5711,0.4163,0.3322,1.4214,1.0431,0.6197
"[75, 113, 118, 146, 148, 170, 202, 297, 298, 320, 330, 435, 508, 517, 631]",3.5281,GA with SVR,15,0.5414,0.3915,0.3863,1.3627,1.0711,0.507
"[41, 50, 54, 103, 165, 249, 285, 320, 327, 423, 435, 442, 497, 501, 692, 695]",3.719,GA with SVR,16,0.5396,0.4323,0.3563,1.3956,1.0468,0.6056
"[2, 5, 16, 41, 116, 153, 159, 175, 196, 226, 298, 320, 391, 412]",3.2613,GA with SVR,14,0.5385,0.5176,0.4758,1.2594,1.0156,0.507
"[81, 95, 151, 190, 195, 209, 214, 228, 232, 255, 261, 293, 356, 403, 424, 432, 696, 700, 864, 867, 871]",4.7607,GA with SVR,21,0.5374,0.4499,0.4901,1.2421,0.9421,0.6197
"[90, 120, 255, 295, 360, 387, 427, 429, 432, 443, 466, 485, 564, 631, 700, 703, 816, 819, 866]",4.3115,GA with SVR,19,0.5369,0.5073,0.4252,1.3187,1.0442,0.5775
"[90, 190, 201, 255, 289, 295, 386, 387, 429, 432, 443, 468, 485, 564, 574, 631, 700, 703, 816, 819]",4.5207,GA with SVR,20,0.536,0.5096,0.4277,1.316,1.0427,0.5775
"[54, 204, 224, 231, 301, 320, 321, 346, 410, 460, 473, 502, 676]",3.0927,GA with SVR,13,0.5325,0.4456,0.4183,1.3266,1.0576,0.507
"[77, 92, 106, 391, 400, 438, 476, 567, 651, 703]",2.4522,GA with SVR,10,0.5319,0.4835,0.4097,1.3365,1.0511,0.5634
"[4, 38, 113, 192, 242, 318, 341, 346, 390, 435, 479, 516, 563, 565, 678, 693, 872, 930]",4.1473,GA with SVR,18,0.5265,0.4349,0.4315,1.3115,1.0259,0.6197
"[46, 127, 220, 236, 243, 255, 267, 276, 305, 333, 340, 448, 457, 480, 484, 488, 506, 940]",4.1295,GA with SVR,18,0.5258,0.4721,0.542,1.1772,0.9505,0.6197
"[66, 88, 102, 148, 236, 320, 330, 428, 447, 451, 473, 503, 561, 676, 880]",3.5285,GA with SVR,15,0.5255,0.4182,0.4091,1.3372,1.0479,0.5211
"[1, 49, 75, 100, 148, 211, 245, 320, 337, 392, 397, 457, 463, 499, 506, 648, 700, 826, 872, 940]",4.5932,GA with SVR,20,0.5254,0.3849,0.473,1.2628,0.9901,0.5775
"[5, 20, 38, 112, 129, 149, 168, 170, 198, 242, 320, 361, 395, 397, 472, 475, 513, 521, 531, 535, 547, 550, 558, 650, 907]",5.5874,GA with SVR,25,0.5253,0.5023,0.4183,1.3266,1.0488,0.5211
"[40, 47, 320, 390, 419, 456, 554, 615, 692, 694, 928]",2.7057,GA with SVR,11,0.5231,0.3984,0.367,1.3839,1.1078,0.5493
"[6, 164, 169, 179, 220, 255, 330, 408, 433, 501, 511, 531, 550, 696, 700]",3.4959,GA with SVR,15,0.5223,0.4917,0.4168,1.3284,1.0463,0.5634
"[101, 126, 302, 320, 378, 404, 416, 417, 435, 514, 528, 906]",2.8955,GA with SVR,12,0.521,0.4423,0.4393,1.3025,1.0027,0.5775
"[5, 129, 162, 216, 314, 320, 337, 380, 414, 451, 478, 509, 548, 553, 631, 679, 703, 870]",4.1629,GA with SVR,18,0.5193,0.4154,0.3475,1.4051,1.0948,0.5211
"[16, 81, 144, 185, 212, 217, 290, 307, 320, 356, 408, 410, 413, 459, 461, 494, 543, 555, 561]",4.3636,GA with SVR,19,0.5188,0.4347,0.4713,1.2648,1.035,0.4789
"[38, 87, 114, 255, 276, 278, 368, 462, 530, 650, 698, 872]",2.8363,GA with SVR,12,0.5178,0.5737,0.5272,1.1961,0.9197,0.6338
