Descriptor ID,Fitness,Algorithm,Dimen,R2,R2_Valid,R2_Test,RMSE,MAE,Prediction
"[71, 168, 172, 217, 231, 319, 426]",2.3263,GA with SVR,7,0.0505,0.0371,0.0597,1.6867,1.4274,0.4085
"[110, 206, 363, 389]",1.6531,GA with SVR,4,0.1099,0.0721,0.0943,1.6554,1.3285,0.4225
"[83, 123, 138, 186, 241, 351, 375, 525, 868]",2.7307,GA with SVR,9,0.0637,0.0588,0.1001,1.6501,1.3443,0.4225
"[59, 92, 116, 189, 322, 371, 413, 484, 680]",2.5476,GA with SVR,9,0.309,0.1427,0.209,1.5471,1.2044,0.5211
"[213, 356]",1.6137,GA with SVR,2,0.1239,0.1177,0.111,1.6401,1.3067,0.4225
"[164, 244, 248, 525, 866]",1.6923,GA with SVR,5,0.1329,0.0893,0.034,1.7097,1.3348,0.4648
"[159, 192, 280, 310, 377, 419, 501, 865]",2.4137,GA with SVR,8,0.1952,0.1391,0.2299,1.5264,1.1868,0.4507
"[57, 67, 82, 91, 146, 228, 337, 360, 431, 695, 929]",3.0923,GA with SVR,11,0.107,0.154,0.1428,1.6104,1.3005,0.4507
"[163, 204, 207, 310, 342, 412, 427, 839]",2.3941,GA with SVR,8,0.1971,0.1919,0.204,1.552,1.1951,0.4366
"[246, 330, 367, 415, 436, 437, 475, 495, 872, 929]",2.7611,GA with SVR,10,0.2219,0.2881,0.2411,1.5153,1.2368,0.4507
"[60, 99, 232, 302, 420, 475, 526, 562, 651]",2.3905,GA with SVR,9,0.3553,0.4658,0.3212,1.4332,1.1943,0.4648
"[58, 504, 523, 677]",1.6256,GA with SVR,4,0.1112,0.1554,0.1136,1.6377,1.3181,0.3944
"[143, 226, 234, 276, 277, 436, 443, 448, 451, 520, 549]",2.8498,GA with SVR,11,0.3344,0.3971,0.4102,1.3359,1.0741,0.5915
"[111, 117, 125, 126, 198, 202, 305, 440, 441, 450]",2.8962,GA with SVR,10,0.1002,0.1259,0.1051,1.6455,1.3382,0.4507
"[125, 329, 504, 522, 531]",1.6093,GA with SVR,5,0.1761,0.2579,0.1949,1.5608,1.2227,0.4648
"[53, 111, 143, 158, 166, 312, 394, 473, 544, 816]",2.7624,GA with SVR,10,0.2206,0.2872,0.1896,1.5659,1.2194,0.507
"[164, 171, 300, 328, 414, 695]",1.7669,GA with SVR,6,0.1321,0.0423,0.1232,1.6288,1.3268,0.4085
"[199, 200, 346, 436, 456, 475]",1.797,GA with SVR,6,0.0555,0.0907,0.0483,1.697,1.3669,0.3944
"[58, 80, 97, 99, 169, 172, 334, 413, 492, 523, 698, 906]",3.1676,GA with SVR,12,0.2481,0.2733,0.1952,1.5604,1.3282,0.3944
