Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Prediction
"[2, 32, 43, 46, 65, 77, 91, 102, 124, 137, 170, 171, 175, 186, 211, 229, 234, 239, 306, 324, 337, 342, 352, 387, 407, 418, 424, 444, 454, 475, 480, 506, 516, 527, 558, 564, 572, 573, 695, 696, 702, 826]",9.2275,GA with MLR,42,0.6973,0.3321,0.3386,1.4146,1.119,0.493
"[5, 15, 57, 62, 64, 65, 72, 89, 105, 111, 114, 117, 120, 172, 173, 192, 224, 254, 299, 321, 328, 337, 476, 481, 494, 518, 525, 548, 549, 565, 648]",6.6429,GA with MLR,31,0.6961,0.5855,0.5188,1.2067,0.9628,0.5493
"[6, 48, 58, 63, 83, 91, 141, 151, 213, 253, 272, 275, 311, 313, 316, 344, 402, 407, 425, 454, 456, 480, 486, 496, 538, 548, 552, 569, 678, 819, 908, 937]",6.9206,GA with MLR,32,0.6923,0.4994,0.6061,1.0917,0.8872,0.5915
"[30, 44, 48, 76, 139, 147, 149, 214, 218, 277, 286, 305, 347, 361, 373, 387, 391, 400, 408, 442, 447, 450, 517, 536, 690, 698]",5.7201,GA with MLR,26,0.6907,0.378,0.4144,1.3311,0.9845,0.6338
"[38, 56, 58, 63, 69, 91, 103, 132, 155, 168, 215, 232, 234, 271, 295, 296, 313, 334, 364, 373, 377, 389, 404, 412, 425, 450, 458, 460, 471, 502, 522, 524, 821, 908]",7.3238,GA with MLR,34,0.6821,0.5517,0.5135,1.2133,0.9819,0.5915
"[103, 130, 155, 168, 178, 192, 208, 220, 231, 236, 248, 279, 285, 288, 326, 354, 392, 393, 394, 437, 438, 446, 447, 482, 519, 558, 649, 695, 939]",6.218,GA with MLR,29,0.6806,0.6099,0.4645,1.2729,0.9538,0.6338
"[1, 2, 36, 62, 70, 91, 172, 189, 191, 192, 208, 219, 306, 320, 353, 365, 381, 400, 405, 407, 425, 438, 493, 503, 512, 519, 531, 565, 572, 695, 866, 870]",6.9049,GA with MLR,32,0.6777,0.5441,0.681,0.9824,0.7821,0.7183
"[15, 20, 54, 90, 92, 96, 102, 106, 119, 126, 175, 176, 191, 208, 232, 288, 291, 338, 395, 410, 429, 430, 471, 513, 530, 550, 553, 698, 928]",6.3712,GA with MLR,29,0.6766,0.3804,0.6223,1.0691,0.8622,0.5915
"[50, 83, 109, 114, 116, 143, 168, 191, 194, 195, 196, 206, 207, 209, 210, 217, 243, 263, 267, 286, 308, 350, 373, 393, 481, 484, 486, 498, 506, 507, 544, 545, 631, 692, 702, 939]",7.8809,GA with MLR,36,0.6737,0.3878,0.6081,1.0889,0.8561,0.6479
"[43, 47, 56, 81, 95, 159, 178, 227, 282, 284, 307, 309, 317, 337, 338, 359, 379, 393, 435, 458, 475, 485, 490, 491, 524, 543, 559, 567, 694]",6.5456,GA with MLR,29,0.6733,0.0832,0.3866,1.3623,1.0375,0.5775
